,trait,cell_type,raw_p_value_bin_0,oddratio_0,raw_p_value_bin_1,oddratio_1,raw_p_value_bin_2,oddratio_2,raw_p_value_bin_3,oddratio_3,raw_p_value_bin_4,oddratio_4,raw_p_value_bin_5,oddratio_5,raw_p_value_bin_6,oddratio_6,raw_p_value_bin_7,oddratio_7,raw_p_value_bin_8,oddratio_8,raw_p_value_bin_9,oddratio_9,raw_p_value_bin_10,oddratio_10,spearman_r,spearman_p_value,global_spearman_fdr_p_value,global_spearman_significant,fdr_p_value_bin_0,significance_bin_0,fdr_p_value_bin_1,significance_bin_1,fdr_p_value_bin_2,significance_bin_2,fdr_p_value_bin_3,significance_bin_3,fdr_p_value_bin_4,significance_bin_4,fdr_p_value_bin_5,significance_bin_5,fdr_p_value_bin_6,significance_bin_6,fdr_p_value_bin_7,significance_bin_7,fdr_p_value_bin_8,significance_bin_8,fdr_p_value_bin_9,significance_bin_9,fdr_p_value_bin_10,significance_bin_10
0,myocardial infraction,Cardiomyocyte_(CM),1.0,0.6770947011034315,1.0,1.016,,,,,1.0,0.5078181818181818,,,0.12191483214732851,5.087399854333576,0.6849449853558892,1.5245633187772927,,,,,,,0.6,0.28475697986529375,0.8542709395958813,False,1.0,False,1.0,False,,False,,False,1.0,False,,False,1.0,False,1.0,False,,False,,False,,False
1,myocardial infraction,Endothelial_not_treated,0.6811308812140807,1.5645297342893294,1.0,0.521070375052676,,,,,1.0,0.521070375052676,,,0.20919865839987903,4.175527426160338,1.0,1.0425621576064055,,,,,,,0.15389675281277312,0.8048288166080632,0.9980596864576043,False,1.0,False,1.0,False,,False,,False,1.0,False,,False,1.0,False,1.0,False,,False,,False,,False
2,Acne vulgaris,Keratinocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
3,Acne vulgaris,Pooled_fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
4,Acne vulgaris,Pooled_epidermis,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
5,Acne vulgaris,HF_Sebocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
6,Chronic sinusitis,9_Chondrocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
7,Chronic sinusitis,Pooled_epidermis,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
8,Colon diverticulosis,Skeletal_myocyte_(SKM),,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
9,Colon diverticulosis,Pooled_epidermis,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
10,Inguinal hernia,Pooled_fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
11,Psoriasis,Keratinocytes,,,,,,,0.4906103286384976,inf,,,,,0.4906103286384976,inf,,,1.0,0.0,,,,,-0.8660254037844387,0.3333333333333332,0.8571428571428568,False,,False,,False,,False,1.0,False,,False,,False,1.0,False,,False,1.0,False,,False,,False
12,Sleep apnea,Skeletal_myocyte_(SKM),,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
13,Sleep apnea,Motor_neuron_(MN),,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
14,Sleep apnea,Cortical_organoids_d50,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
15,Sleep apnea,Cortical_organoids_d100,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
16,Varicose veins,Endothelial_not_treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
17,Hemorrhoids,Endothelial_not_treated,,,,,,,,,,,,,0.617273042564416,2.0860033726812817,1.0,0.0,1.0,1.0425621576064055,,,,,-0.5,0.6666666666666667,0.9980596864576043,False,,False,,False,,False,,False,,False,,False,1.0,False,1.0,False,1.0,False,,False,,False
18,Hemorrhoids,Pooled_fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
19,sudden infant death syndrome,Cortical_organoids_d50,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
20,sudden infant death syndrome,Cortical_organoids_d100,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
21,Back Disorders,9_Chondrocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
22,Back Disorders,Pooled_fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
23,Back Disorders,4_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
24,Back Disorders,8_Also_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
25,Alzheimer's Disease,Motor_neuron_(MN),,,0.6207480237384555,2.0464,0.24435101250904973,inf,,,,,1.0,1.0227908836465414,,,0.24435101250904973,inf,0.24435101250904973,inf,0.6839329383846839,1.534813925570228,0.12075064860103261,inf,0.19702760155977517,0.6719698959610128,0.9980596864576043,False,,False,1.0,False,1.0,False,,False,,False,1.0,False,,False,1.0,False,1.0,False,1.0,False,1.0,False
26,Alzheimer's Disease,Cortical_organoids_d50,,,0.3646187591732358,3.1323529411764706,,,,,,,1.0,1.0429159318048207,,,1.0,0.0,1.0,1.0428907168037602,1.0,0.0,0.2395467027086531,inf,-0.028988551782622423,0.9565293523898406,1.0,False,,False,1.0,False,,False,,False,,False,1.0,False,,False,1.0,False,1.0,False,1.0,False,1.0,False
27,Alzheimer's Disease,Endothelial_not_treated,,,0.2501707507314972,0.0,1.0,1.0425621576064055,,,,,1.0,1.0425621576064055,,,0.11727496784211225,inf,0.23964239845308516,inf,1.0,1.0426160337552743,1.0,0.6947723440134908,0.32732683535398865,0.47359693606806347,0.9374247594464477,False,,False,1.0,False,1.0,False,,False,,False,1.0,False,,False,1.0,False,1.0,False,1.0,False,1.0,False
28,Alzheimer's Disease,Cortical_organoids_d100,,,0.6200339338391871,2.0543933054393304,,,,,,,0.24342749542538325,inf,,,0.49347079037800684,inf,1.0,0.0,1.0,0.0,0.12003955585969725,inf,-0.12344267996967354,0.8157764957024014,0.9980596864576043,False,,False,1.0,False,,False,,False,,False,1.0,False,,False,1.0,False,1.0,False,1.0,False,1.0,False
